Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C2, C22, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C4, C5, C50, C51, C6, C7, C8, C9",0402,30,100nF,C1525 
"C17, C18, C23",CP_EIA-3216-18_Kemet-A,3,10uF,C7171
"C19, C20, C21",0402,3,10uF,C77000
D1,150080GS75000,1,GREEN LED (DONE),C12624
D2,150080SS75000,1,RED LED (CHARGING),C2286
J1,S2B-PH-SM4-TB,1,S2B-PH-SM4-TB,C51940124
J2,S2B-PH-SM4-TB,1,EXTERNAL SWITCH,C51940124
J8,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948 
L1,NRH2412T2R2MNGH,1,2.2uH,C89149 
Q1,DMN3135LVT-7,1,DMN3135LVT-7,C155326 
"R1, R2",0402,2,5.1k,C25905 
R10,0402,1,100K,C25741
R11,0402,1,2.5K,C25884
"R12, R14, R15, R16, R20, R21, R24, R26, R28, R3, R30, R32, R34, R36, R38, R4, R40, R42, R44, R5, R6, R9",0402,22,10K,C25744
"R13, R19",0402,2,1K,C11702
"R17, R18",0402,2,51K,C25794 
"R22, R23, R25, R27, R29, R31, R33, R35, R37, R39, R41, R43, R45",0402,13,75K,C25798
"R7, R8",0402,2,22R,C17561 
"S2, S3",TS-1064S-A1B2-D4,2,TS-1064S-A1B2-D4,C498294
U1,SOT95P280X145-5N,1,LM3671MFX-3.3_NOPB,C477918
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U6, U7, U8, U9",MPR121QR2,13,MPR121QR2,C91322
U2,MCP73831T-2ACI-OT,1,MCP73831T-2ACI_OT,C424093
U3,ESP32-WROOM-32E-N4,1,ESP32-WROOM-32E,C328062 
U4,CH340C,1,CH340C,C84681
U5,SOP65P640X120-24N,1,TCA9548APWR,C130026 
