Designator,Mid X,Mid Y,Rotation,Layer
C1,170.34,-110.27,270.0,bottom
C10,205.0972,-52.54,180.0,bottom
C11,87.1128,-56.43,180.0,bottom
C12,198.19,-128.0128,270.0,bottom
C13,105.6,-53.67,180.0,bottom
C14,217.43,-103.5628,270.0,bottom
C15,174.31,-95.21,0.0,bottom
C16,163.5672,-148.36,0.0,bottom
C17,195.5925,-133.42,0.0,bottom
C18,162.6047,-146.6925,180.0,bottom
C19,174.0,-144.45,90.0,bottom
C2,215.66,-99.3128,270.0,bottom
C20,200.12,-141.93,0.0,bottom
C21,193.39,-143.25,180.0,bottom
C22,214.6,-153.2172,90.0,bottom
C23,218.22,-153.62,0.0,bottom
C24,217.6372,-96.65,0.0,bottom
C25,196.66,-123.51,270.0,bottom
C26,147.1572,-129.2,0.0,bottom
C27,121.86,-53.64,180.0,bottom
C28,126.4428,-52.39,180.0,bottom
C29,182.99,-53.78,180.0,bottom
C3,169.15,-105.46,270.0,bottom
C30,110.0528,-52.27,180.0,bottom
C31,136.26,-128.2,0.0,bottom
C32,131.63,-129.62,0.0,bottom
C33,151.76,-127.74,0.0,bottom
C34,91.6672,-54.55,90.0,bottom
C4,156.9128,-52.22,180.0,bottom
C5,200.5,-54.0,180.0,bottom
C50,204.3172,-121.26,0.0,bottom
C51,220.53,-146.63,180.0,bottom
C6,187.6372,-52.26,180.0,bottom
C7,152.33,-53.96,180.0,bottom
C8,169.6928,-96.59,0.0,bottom
C9,222.08,-95.07,0.0,bottom
D1,191.86,-137.02,180.0,bottom
D2,191.86,-139.36,0.0,bottom
J1,193.47,-146.96,180.0,bottom
J2,183.95,-146.975,180.0,bottom
J8,207.66,-151.39,0.0,bottom
L1,166.66,-147.36,270.0,bottom
Q1,184.69,-133.455,180.0,bottom
R1,210.11,-145.38,180.0,bottom
R10,171.83,-150.78,180.0,bottom
R11,200.27,-151.89,180.0,bottom
R12,200.25,-147.3,180.0,bottom
R13,196.12,-139.36,0.0,bottom
R14,203.78,-122.73,0.0,bottom
R15,220.52,-145.52,180.0,bottom
R16,201.74,-129.19,270.0,bottom
R17,217.96,-145.36,0.0,bottom
R18,217.95,-144.35,0.0,bottom
R19,196.12,-137.01,0.0,bottom
R2,205.74,-145.48,0.0,bottom
R20,170.86,-106.7,90.0,bottom
R21,153.57,-52.21,0.0,bottom
R22,169.29,-112.42,180.0,bottom
R23,158.94,-53.27,90.0,bottom
R24,184.04,-51.96,0.0,bottom
R25,189.71,-53.37,90.0,bottom
R26,173.03,-96.96,180.0,bottom
R27,167.64,-95.4,270.0,bottom
R28,201.77,-52.2,0.0,bottom
R29,207.15,-53.76,90.0,bottom
R3,164.76,-131.4,0.0,bottom
R30,198.47,-124.69,90.0,bottom
R31,196.98,-130.08,180.0,bottom
R32,217.83,-100.375,90.0,bottom
R33,216.23,-105.66,180.0,bottom
R34,220.905,-97.01,180.0,bottom
R35,215.55,-95.45,270.0,bottom
R36,150.5,-129.63,180.0,bottom
R37,145.09,-128.12,270.0,bottom
R38,122.98,-51.88,0.0,bottom
R39,128.62,-53.47,90.0,bottom
R4,164.52,-142.255,270.0,bottom
R40,106.77,-51.79,0.0,bottom
R41,112.11,-53.365,90.0,bottom
R42,134.97,-130.05,180.0,bottom
R43,129.56,-128.47,270.0,bottom
R44,88.32,-54.4,0.0,bottom
R45,93.74,-55.51,90.0,bottom
R5,166.5,-142.26,270.0,bottom
R6,181.29,-133.465,270.0,bottom
R7,216.4,-122.18,90.0,bottom
R8,218.67,-122.175,90.0,bottom
R9,184.265,-130.48,0.0,bottom
S2,213.47,-119.845,90.0,bottom
S3,221.19,-150.06,270.0,bottom
U1,170.6,-147.33,0.0,bottom
U10,203.89,-55.45,270.0,bottom
U11,195.23,-126.85,0.0,bottom
U12,214.55,-102.42,0.0,bottom
U13,218.77,-93.77,90.0,bottom
U14,148.36,-126.37,90.0,bottom
U15,125.23,-55.19,270.0,bottom
U16,108.85,-55.08,270.0,bottom
U17,132.86,-126.76,90.0,bottom
U18,90.47,-57.65,270.0,bottom
U2,200.07,-144.66,180.0,bottom
U3,216.83,-133.88,90.0,bottom
U4,183.145,-139.36,90.0,bottom
U5,168.0,-136.54,270.0,bottom
U6,167.56,-109.06,0.0,bottom
U7,155.71,-55.44,270.0,bottom
U8,186.37,-55.21,270.0,bottom
U9,170.91,-93.74,90.0,bottom
