"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C23,C18,C17";"CP_EIA-3216-10_Kemet-I";3;"10uF";;;
2;"C22,C51,C50,C16";"C_0402_1005Metric";4;"100nF";;;
3;"R2,R1";"R_0402_1005Metric";2;"5.1k";;;
4;"D1";"LED_0603_1608Metric";1;"GREEN LED (DONE)";;;
5;"S3,S2";"KEY-SMD_L3.0-W2.5-LS4.0";2;"TS-1064S-A1B2-D4";;;
6;"J8";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_14P";;;
7;"U5";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
8;"R19,R13";"R_0402_1005Metric";2;"1K";;;
9;"R18,R17";"R_0402_1005Metric";2;"51K";;;
10;"R16,R15,R14,R12,R9,R8,R7,R6";"R_0402_1005Metric";8;"10K";;;
11;"R11";"R_0402_1005Metric";1;"2.5K";;;
12;"R10";"R_0402_1005Metric";1;"100K";;;
13;"Q1";"SOT95P280X100-6N";1;"DMN3135LVT-7";;;
14;"J2";"PinHeader_1x20_P2.54mm_Vertical";1;"Conn_01x20_Pin";;;
15;"D2";"LED_0603_1608Metric";1;"RED LED (CHARGING)";;;
16;"C21,C20,C19";"C_0402_1005Metric";3;"10uF";;;
17;"U3";"ESP32-WROOM-32E";1;"ESP32-WROOM-32E";;;
18;"U2";"MCP73831T-2ACI-OT";1;"MCP73831T-2ACI_OT";;;
19;"U1";"LM3671MFX-3.3_NOPB";1;"LM3671MFX-3.3_NOPB";;;
20;"SW1";"JS202011SCQN";1;"SLIDE SWITCH";;;
21;"L1";"NRH2412T2R2MNGH";1;"2.2uH";;;
22;"J1";"S2B-PH-SM4-TB";1;"S2B-PH-SM4-TB";;;
