Designator,Footprint,Quantity,Value,LCSC Part #
"C16, C22, C50, C51",402,4,100nF,C1525 
"C17, C18, C23",CP_EIA-3216-10_Kemet-I,3,10uF,C7171
"C19, C20, C21",402,3,10uF,C77000
D1,603,1,GREEN LED (DONE),C12624
D2,603,1,RED LED (CHARGING),C2286
J1,S2B-PH-SM4-TB,1,S2B-PH-SM4-TB,C295747
J2,PinHeader_1x20_P2.54mm_Vertical,1,Conn_01x20_Pin,C5156618 
J8,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948 
L1,NRH2412T2R2MNGH,1,2.2uH,C89149 
Q1,SOT95P280X100-6N,1,DMN3135LVT-7,C155326 
"R1, R2",402,2,5.1k,C25905 
R10,402,1,100K,C25741
R11,402,1,2.5K,C25884
"R12, R14, R15, R16, R6, R7, R8, R9",402,8,10K,C25744
"R13, R19",402,2,1K,C11702
"R17, R18",402,2,51K,C25794 
"S2, S3",KEY-SMD_L3.0-W2.5-LS4.0,2,TS-1064S-A1B2-D4,C498294
SW1,JS202011SCQN,1,SLIDE SWITCH,C221666
U1,LM3671MFX-3.3_NOPB,1,LM3671MFX-3.3_NOPB,C477918
U2,MCP73831T-2ACI-OT,1,MCP73831T-2ACI_OT,C424093
U3,ESP32-WROOM-32E,1,ESP32-WROOM-32E,C701341
U5,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
