Designator,Mid X,Mid Y,Rotation,Layer
C16,240.6,-73.92,90.0,top
C17,238.52,-73.05,270.0,top
C18,236.18,-73.05,270.0,top
C19,228.22,-70.91,0.0,top
C20,217.54,-72.94,180.0,top
C21,213.74,-70.9,90.0,top
C22,215.49,-53.09,0.0,top
C23,211.75,-53.1,0.0,top
C50,246.14,-74.44,180.0,top
C51,261.14,-50.45,0.0,top
D1,209.3325,-70.02,0.0,top
D2,209.3325,-72.97,180.0,top
J1,212.305,-71.45,90.0,bottom
J2,238.995,-46.7,90.0,top
J8,210.2,-60.6,270.0,top
L1,232.96,-73.23,270.0,top
Q1,229.07,-59.43,90.0,top
R1,216.14,-58.7525,90.0,top
R10,227.24,-75.66,180.0,top
R11,222.02,-70.53,0.0,top
R12,217.52,-68.21,0.0,top
R13,211.88,-72.94,180.0,top
R14,246.11,-73.29,180.0,top
R15,261.16,-51.63,0.0,top
R16,242.53,-68.2,180.0,top
R17,230.54,-68.06,180.0,top
R18,230.54,-69.15,180.0,top
R19,211.87,-70.03,180.0,top
R2,216.12,-62.9775,270.0,top
R6,228.55,-62.31,180.0,top
R7,222.55,-53.13,180.0,top
R8,222.56,-54.36,180.0,top
R9,231.53,-60.0,270.0,top
S2,250.23,-74.81,0.0,top
S3,266.5,-50.86,0.0,top
SW1,226.23,-64.04,90.0,bottom
U1,229.0075,-73.28,0.0,top
U2,216.722,-70.4336,0.0,top
U3,257.46528,-62.519291,270.0,top
U5,221.825,-60.565,270.0,top
